antecedents;consequents;aisle_antecedents;aisle_consequents;support;confidence
Organic Tortilla Chips Blue Corn With Flax;Baby's Super Daily Liquid Vitamin D Drops;chips pretzels;vitamins supplements;0.0152428568162244;10.68%
White Bean Chili Starter with Roasted New Mexico green chile;Baby's Super Daily Liquid Vitamin D Drops;latino foods;vitamins supplements;0.0062648141514682;19.77%
Coconut Shrimp;Baby's Super Daily Liquid Vitamin D Drops;seafood counter;vitamins supplements;0.0071565212752174;15.56%
Baby's Super Daily Liquid Vitamin D Drops;Coconut Shrimp;vitamins supplements;seafood counter;0.0071565212752174;9.60%
Hot Raw Hummus;Baby's Super Daily Liquid Vitamin D Drops;preserved dips spreads;vitamins supplements;0.0071107927047687;20.23%
Baby's Super Daily Liquid Vitamin D Drops;Hot Raw Hummus;vitamins supplements;preserved dips spreads;0.0071107927047687;9.54%
Baby's Super Daily Liquid Vitamin D Drops;Cage Free White Omega 3 Eggs;vitamins supplements;eggs;0.0064629712900791;8.67%
Cage Free White Omega 3 Eggs;Baby's Super Daily Liquid Vitamin D Drops;eggs;vitamins supplements;0.0064629712900791;22.18%
Brewer's Yeast Powder;Baby's Super Daily Liquid Vitamin D Drops;vitamins supplements;vitamins supplements;0.0072403569877066;20.70%
Baby's Super Daily Liquid Vitamin D Drops;Brewer's Yeast Powder;vitamins supplements;vitamins supplements;0.0072403569877066;9.71%
Baby's Super Daily Liquid Vitamin D Drops;Salmon Dinner Classic Pate Cat Food;vitamins supplements;cat food care;0.0095420283669565;12.80%
Salmon Dinner Classic Pate Cat Food;Baby's Super Daily Liquid Vitamin D Drops;cat food care;vitamins supplements;0.0095420283669565;17.17%
Sauce, Duck, All Natural, Jar;Baby's Super Daily Liquid Vitamin D Drops;asian foods;vitamins supplements;0.0094353283692429;15.22%
Baby's Super Daily Liquid Vitamin D Drops;Sauce, Duck, All Natural, Jar;vitamins supplements;asian foods;0.0094353283692429;12.65%
Extra Crispy Tator Tots;Baby's Super Daily Liquid Vitamin D Drops;frozen appetizers sides;vitamins supplements;0.0106852426281733;18.92%
Baby's Super Daily Liquid Vitamin D Drops;Extra Crispy Tator Tots;vitamins supplements;frozen appetizers sides;0.0106852426281733;14.33%
White Wine & Garlic Sauces Skillet Shrimp Scampi;White Bean Chili Starter with Roasted New Mexico green chile;marinades meat preparation;latino foods;0.0064782141468954;19.81%
White Bean Chili Starter with Roasted New Mexico green chile;White Wine & Garlic Sauces Skillet Shrimp Scampi;latino foods;marinades meat preparation;0.0064782141468954;20.44%
eat your vegetables Vegetable Chips Sour Cream & Onion;Organic Tortilla Chips Blue Corn With Flax;crackers;chips pretzels;0.006386757005998;28.85%
Coconut Shrimp;Organic Tortilla Chips Blue Corn With Flax;seafood counter;chips pretzels;0.0101441212111974;22.06%
Corn Tortillas Gluren Free;Organic Tortilla Chips Blue Corn With Flax;tortillas flat bread;chips pretzels;0.0079567712580691;21.27%
Italian Squash;Organic Tortilla Chips Blue Corn With Flax;fresh vegetables;chips pretzels;0.0068516641388929;16.21%
Temples Earl Gray Strong Tea;Organic Tortilla Chips Blue Corn With Flax;tea;chips pretzels;0.0092219283738158;37.15%
Hot Raw Hummus;Organic Tortilla Chips Blue Corn With Flax;preserved dips spreads;chips pretzels;0.0063334070071412;18.01%
Organic Gluten Free Yellow Cornmeal;Organic Tortilla Chips Blue Corn With Flax;baking ingredients;chips pretzels;0.0070498212775038;18.63%
Cage Free White Omega 3 Eggs;Organic Tortilla Chips Blue Corn With Flax;eggs;chips pretzels;0.0066230212866495;22.73%
Brewer's Yeast Powder;Organic Tortilla Chips Blue Corn With Flax;vitamins supplements;chips pretzels;0.0071565212752174;20.46%
Oregon Strawberry Preserves;Organic Tortilla Chips Blue Corn With Flax;spreads;chips pretzels;0.0093819783703861;34.67%
Even Thinner Limited Edition Crackers;Organic Tortilla Chips Blue Corn With Flax;crackers;chips pretzels;0.006043792727633;20.50%
Salmon Dinner Classic Pate Cat Food;Organic Tortilla Chips Blue Corn With Flax;cat food care;chips pretzels;0.0072174927024823;12.99%
Sauce, Duck, All Natural, Jar;Organic Tortilla Chips Blue Corn With Flax;asian foods;chips pretzels;0.0164470425047062;26.53%
Organic Tortilla Chips Blue Corn With Flax;Sauce, Duck, All Natural, Jar;chips pretzels;asian foods;0.0164470425047062;11.52%
Extra Crispy Tator Tots;Organic Tortilla Chips Blue Corn With Flax;frozen appetizers sides;chips pretzels;0.0168890853523767;29.91%
Organic Tortilla Chips Blue Corn With Flax;Extra Crispy Tator Tots;chips pretzels;frozen appetizers sides;0.0168890853523767;11.83%
Coconut Shrimp;Unstopables Fresh In-Wash Scent Booster;seafood counter;laundry;0.007674778406969;16.69%
Unstopables Fresh In-Wash Scent Booster;Coconut Shrimp;laundry;seafood counter;0.007674778406969;28.56%
Coconut Shrimp;Sauce, Duck, All Natural, Jar;seafood counter;asian foods;0.012156178310939;26.44%
Sauce, Duck, All Natural, Jar;Coconut Shrimp;asian foods;seafood counter;0.012156178310939;19.61%
Coconut Shrimp;Extra Crispy Tator Tots;seafood counter;frozen appetizers sides;0.0079034212592124;17.19%
Extra Crispy Tator Tots;Coconut Shrimp;frozen appetizers sides;seafood counter;0.0079034212592124;14.00%
Italian Squash;Salmon Dinner Classic Pate Cat Food;fresh vegetables;cat food care;0.0077662355478663;18.37%
Salmon Dinner Classic Pate Cat Food;Italian Squash;cat food care;fresh vegetables;0.0077662355478663;13.97%
Hot Raw Hummus;Salmon Dinner Classic Pate Cat Food;preserved dips spreads;cat food care;0.0063334070071412;18.01%
Salmon Dinner Classic Pate Cat Food;Hot Raw Hummus;cat food care;preserved dips spreads;0.0063334070071412;11.39%
Extra Crispy Tator Tots;Sauce, Duck, All Natural, Jar;frozen appetizers sides;asian foods;0.0102813069225434;18.21%
Sauce, Duck, All Natural, Jar;Extra Crispy Tator Tots;asian foods;frozen appetizers sides;0.0102813069225434;16.58%
